Date;SIE;ALVG;VOWG
02-Jan-2024;167.8800;244.9500;112.8800
29-Dez-2023;169.9200;241.9500;111.8000
28-Dez-2023;168.4800;240.6500;112.1600
27-Dez-2023;168.8200;241.7000;112.8000
22-Dez-2023;168.0800;242.6000;112.5600
21-Dez-2023;168.4800;241.6500;112.4600
20-Dez-2023;169.1400;242.2500;113.7200
19-Dez-2023;167.9800;242.5000;114.1600
18-Dez-2023;163.4000;240.7000;114.8000
15-Dez-2023;166.7800;240.2000;115.9600
14-Dez-2023;165.8200;239.0000;115.7400
13-Dez-2023;162.8800;244.9500;114.2800
12-Dez-2023;163.8600;245.5000;115.0400
11-Dez-2023;164.3000;245.4000;115.6600
08-Dez-2023;162.4200;243.8000;114.8600
07-Dez-2023;161.5000;242.1500;113.5400
06-Dez-2023;160.9200;240.9500;114.3800
05-Dez-2023;158.7400;238.7500;108.5600
04-Dez-2023;156.9800;235.1000;107.8000
01-Dez-2023;156.0000;235.2500;107.0200
30-Nov-2023;154.0000;230.6000;106.4200
29-Nov-2023;152.8800;231.0000;106.8800
28-Nov-2023;151.4200;230.5500;105.0800
27-Nov-2023;150.2400;230.5000;106.1200
24-Nov-2023;150.8600;232.7000;107.0000
23-Nov-2023;149.6400;232.3000;106.5800
22-Nov-2023;149.6600;231.0000;106.8000
21-Nov-2023;147.6600;230.3500;106.8600
20-Nov-2023;147.6400;228.8000;108.8400
17-Nov-2023;148.4600;228.5000;108.8400
16-Nov-2023;146.8200;226.1500;108.2600
15-Nov-2023;138.9000;224.5000;109.9000
14-Nov-2023;136.5600;224.5000;107.8400
13-Nov-2023;132.9000;221.4000;105.0600
10-Nov-2023;130.8000;222.0000;103.6600
09-Nov-2023;133.0000;222.3000;104.8800
08-Nov-2023;129.9200;220.7500;104.4000
07-Nov-2023;128.8800;218.8500;104.2000
06-Nov-2023;128.9800;221.1500;105.0600
03-Nov-2023;127.8000;221.0000;105.0400
02-Nov-2023;127.6400;223.6000;102.9800
01-Nov-2023;125.5000;224.2500;99.7900
31-Okt-2023;124.9600;220.9000;99.8300
30-Okt-2023;123.7000;221.0500;99.1400
27-Okt-2023;122.4200;218.6000;99.2900
26-Okt-2023;121.2000;219.5500;99.9700
25-Okt-2023;126.9600;220.1500;100.8000
24-Okt-2023;127.4400;218.1500;101.7800
23-Okt-2023;127.7000;217.8000;102.2400
20-Okt-2023;127.1200;217.4000;103.1400
19-Okt-2023;129.8600;221.2500;105.3000
18-Okt-2023;130.4000;223.3000;107.6200
17-Okt-2023;133.9600;224.5500;108.5200
16-Okt-2023;133.9000;224.2500;108.6200
13-Okt-2023;133.4800;222.8000;107.6800
12-Okt-2023;136.6400;226.5000;108.6200
11-Okt-2023;138.2400;226.9500;109.2800
10-Okt-2023;136.8200;225.2500;108.1200
09-Okt-2023;132.7200;222.5000;105.7200
06-Okt-2023;134.6600;224.3000;106.7800
05-Okt-2023;132.2600;220.7000;106.5000
04-Okt-2023;133.5400;219.6500;107.5600
03-Okt-2023;133.1000;220.9500;107.1000
02-Okt-2023;134.4400;222.7000;109.0000
29-Sep-2023;135.6600;225.7000;108.9400
28-Sep-2023;135.5800;228.5500;108.7600
27-Sep-2023;134.2000;226.9500;108.8800
26-Sep-2023;129.9200;230.4500;110.2000
25-Sep-2023;132.4800;229.3500;113.2600
22-Sep-2023;133.2400;232.1500;114.4800
21-Sep-2023;133.6800;229.9500;111.6200
20-Sep-2023;136.2000;231.4000;111.8200
19-Sep-2023;134.5400;233.3500;109.7400
18-Sep-2023;137.1800;231.5000;107.4400
